key,date,value
F,12/1/10,535300
F,12/1/11,1942175
F,12/1/12,3101500
F,12/1/13,5757825
F,12/1/14,5194400
F,12/1/15,17824425
F,2/1/08,184425
F,2/1/09,77600
F,2/1/10,147800
F,2/1/11,1094375
F,2/1/12,1579875
F,2/1/13,2883150
F,2/1/14,5923675
F,2/1/15,9891825
F,3/1/08,251250
F,3/1/09,100450
F,3/1/10,226250
F,3/1/11,1533900
F,3/1/12,1320600
F,3/1/13,4234875
F,3/1/14,7735550
F,3/1/15,11899850
F,4/1/08,192550
F,4/1/09,122550
F,4/1/10,107725
F,4/1/11,874575
F,4/1/12,1730175
F,4/1/13,5001850
F,4/1/14,7885250
F,4/1/15,17038750
F,5/1/08,10500
F,5/1/09,97000
F,5/1/10,366100
F,5/1/11,1228225
F,5/1/12,2135125
F,5/1/13,9459200
F,5/1/14,7707825
F,5/1/15,17786975
F,6/1/08,18225
F,6/1/09,31250
F,6/1/10,420100
F,6/1/11,1300600
F,6/1/12,2996175
F,6/1/13,10128650
F,6/1/14,7075125
F,6/1/15,16351975
F,7/1/07,36700
F,7/1/08,43850
F,7/1/09,144000
F,7/1/10,461600
F,7/1/11,1161475
F,7/1/12,2870050
F,7/1/13,8988775
F,7/1/14,13022650
F,7/1/15,24213525
F,8/1/07,118800
F,8/1/08,51125
F,8/1/09,83800
F,8/1/10,538775
F,8/1/11,1232200
F,8/1/12,2942325
F,8/1/13,9078375
F,8/1/14,10746925
F,8/1/15,17711175
F,9/1/07,76450
F,9/1/08,38100
F,9/1/09,137000
F,9/1/10,423100
F,9/1/11,898800
F,9/1/12,3683625
F,9/1/13,10199175
F,9/1/14,5848275
F,9/1/15,14921600
G,1/1/08,136100
G,1/1/09,8000
G,1/1/10,70000
G,1/1/11,175875
G,1/1/12,330925
G,1/1/13,284900
G,1/1/14,1719025
G,1/1/15,4997575
G,10/1/07,97075
G,10/1/08,12700
G,10/1/09,98500
G,10/1/10,277300
G,10/1/11,471150
G,10/1/12,629500
G,10/1/13,2248750
G,10/1/14,4256125
G,10/1/15,4236500
G,11/1/07,33100
G,11/1/08,36500
G,11/1/09,121750
G,11/1/10,435250
G,11/1/11,351975
G,11/1/12,1082925
G,11/1/13,1773925
G,11/1/14,2734225
G,11/1/15,2569125
G,12/1/07,98375
G,12/1/08,13000
G,12/1/09,86100
G,12/1/10,317000
G,12/1/11,391425
G,12/1/12,511875
G,12/1/13,1819550
G,12/1/14,1180900
G,12/1/15,3496550
G,2/1/08,310300
G,2/1/09,39000
G,2/1/10,82200
G,2/1/11,496375
G,2/1/12,481050
G,2/1/13,477275
G,2/1/14,1593925
G,2/1/15,3171225
G,3/1/08,216650
G,3/1/09,17200
G,3/1/10,122250
G,3/1/11,471550
G,3/1/12,325400
G,3/1/13,404050
G,3/1/14,2048300
G,3/1/15,3118450
G,4/1/08,221400
G,4/1/09,33250
G,4/1/10,33500
G,4/1/11,412725
G,4/1/12,280275
G,4/1/13,909625
G,4/1/14,2212625
G,4/1/15,4321350
G,5/1/08,11775
G,5/1/09,9000
G,5/1/11,185100
G,5/1/12,232100
G,5/1/13,2156850
G,5/1/14,2408825
G,5/1/15,4141600
G,6/1/08,1600
G,6/1/09,49450
G,6/1/10,189500
G,6/1/11,490150
G,6/1/12,800625
G,6/1/13,2198150
G,6/1/14,2505625
G,6/1/15,2999475
G,7/1/07,11700
G,7/1/08,8000
G,7/1/09,106500
G,7/1/10,129375
G,7/1/11,242950
G,7/1/12,611850
G,7/1/13,1784550
G,7/1/14,4451875
G,7/1/15,4580050
G,8/1/07,72975
G,8/1/08,24500
G,8/1/09,38000
G,8/1/10,386050
G,8/1/11,315600
G,8/1/12,776850
G,8/1/13,2925225
G,8/1/14,5258950
G,8/1/15,3737975
G,9/1/07,66450
G,9/1/08,9700
G,9/1/09,49400
G,9/1/10,354600
G,9/1/11,311075
G,9/1/12,791650
G,9/1/13,2599775
G,9/1/14,2909975
G,9/1/15,2897250
